ds,yhat_lower,yhat_upper
2021-03-07 00:00:00,42387.35575281515,46110.10636824985
2021-03-07 12:00:00,42586.45058850022,46309.20120393492
2021-03-08 00:00:00,42784.29457493504,46507.04519036974
2021-03-08 12:00:00,42980.77493871589,46703.52555415059
2021-03-09 00:00:00,43175.77917708781,46898.52979252251
2021-03-09 12:00:00,43369.195161634845,47091.945777069544
2021-03-10 00:00:00,43560.91124045218,47283.66185588688
2021-03-10 12:00:00,43750.816338871606,47473.566954306305
2021-03-11 00:00:00,43938.80005856594,47661.55067400064
2021-03-11 12:00:00,44124.75277509441,47847.503390529106
2021-03-12 00:00:00,44308.565733639414,48031.31634907411
2021-03-12 12:00:00,44490.13114307396,48212.88175850866
2021-03-13 00:00:00,44669.34226811096,48392.09288354566
2021-03-13 12:00:00,44846.09351970961,48568.84413514431
2021-03-14 00:00:00,45020.28054339971,48743.03115883441
2021-03-14 12:00:00,45191.80030571623,48914.55092115093
2021-03-15 00:00:00,45360.55117860378,49083.30179403848
2021-03-15 12:00:00,45526.43302169617,49249.18363713087
2021-03-16 00:00:00,45689.347262538606,49412.097877973305
2021-03-16 12:00:00,45849.19697463994,49571.94759007464
2021-03-17 00:00:00,46005.886953285226,49728.637568719925
2021-03-17 12:00:00,46159.323789181915,49882.074404616615
2021-03-18 00:00:00,46309.4159398325,50032.1665552672
2021-03-18 12:00:00,46456.073798610305,50178.824414045004
2021-03-19 00:00:00,46599.20976153658,50321.96037697128
2021-03-19 12:00:00,46738.73829166875,50461.48890710345
2021-03-20 00:00:00,46874.57598119037,50597.32659662507
2021-03-20 12:00:00,47006.641611140316,50729.392226575015
2021-03-21 00:00:00,47134.85620862121,50857.60682405591
2021-03-21 12:00:00,47259.143101727066,50981.893717161765
2021-03-22 00:00:00,47379.4279720064,51102.1785874411
2021-03-22 12:00:00,47495.63890440616,51218.38951984086
2021-03-23 00:00:00,47607.706434907486,51330.457050342186
2021-03-23 12:00:00,47715.563595618325,51438.314211053024
2021-03-24 00:00:00,47819.145957472385,51541.896572907084
2021-03-24 12:00:00,47918.39167033694,51641.14228577164
2021-03-25 00:00:00,48013.24150088138,51735.992116316076
2021-03-25 12:00:00,48103.63886778989,51826.389483224586
2021-03-26 00:00:00,48189.52987461689,51912.28049005159
2021-03-26 12:00:00,48270.8633402224,51993.6139556571
2021-03-27 00:00:00,48347.59082666414,52070.34144209884
2021-03-27 12:00:00,48419.66666474773,52142.41728018243
2021-03-28 00:00:00,48487.04797718611,52209.798592620806
2021-03-28 12:00:00,48549.69469921716,52272.44531465186
2021-03-29 00:00:00,48607.56959691746,52330.32021235216
2021-03-29 12:00:00,48660.638283281,52383.3888987157
2021-03-30 00:00:00,48708.86923157526,52431.61984700996
2021-03-30 12:00:00,48752.23378678568,52474.984402220376
2021-03-31 00:00:00,48790.70617440036,52513.45678983506
2021-03-31 12:00:00,48824.2635071203,52547.014122554996
2021-04-01 00:00:00,48852.885789143285,52575.636404577985
2021-04-01 12:00:00,48876.555918378064,52599.30653381276
2021-04-02 00:00:00,48895.25968628947,52618.01030172417
2021-04-02 12:00:00,48908.98577548967,52631.73639092437
2021-04-03 00:00:00,48917.72575541909,52640.47637085379
2021-04-03 12:00:00,48921.474075764956,52644.224691199655
2021-04-04 00:00:00,48920.2280576323,52642.978673067
2021-04-04 12:00:00,48913.987882835456,52636.738498270155
2021-04-05 00:00:00,48902.756581093294,52625.50719652799
2021-04-05 12:00:00,48886.5400152964,52609.2906307311
2021-04-06 00:00:00,48865.346864577856,52588.097480012555
2021-04-06 12:00:00,48839.188605735595,52561.939221170294
2021-04-07 00:00:00,48808.07949252816,52530.83010796286
2021-04-07 12:00:00,48772.0365333388,52494.7871487735
2021-04-08 00:00:00,48731.079466948526,52453.830082383225
2021-04-08 12:00:00,48685.230736169484,52407.98135160418
2021-04-09 00:00:00,48634.515460437455,52357.266075872154
2021-04-09 12:00:00,48578.961406138,52301.7120215727
2021-04-10 00:00:00,48518.59895550856,52241.34957094326
2021-04-10 12:00:00,48453.46107397633,52176.21168941103
2021-04-11 00:00:00,48383.58327566907,52106.33389110377
2021-04-11 12:00:00,48309.003587760075,52031.754203194774
2021-04-12 00:00:00,48229.76251308069,51952.51312851539
2021-04-12 12:00:00,48145.90299138402,51868.65360681872
2021-04-13 00:00:00,48057.470359057574,51780.22097449227
2021-04-13 12:00:00,47964.51230785488,51687.26292328958
2021-04-14 00:00:00,47867.078842110386,51589.829457545085
2021-04-14 12:00:00,47765.22223430659,51487.97284974129
2021-04-15 00:00:00,47658.996980372016,51381.747595806715
2021-04-15 12:00:00,47548.45975273259,51271.21036816729
2021-04-16 00:00:00,47433.669353196994,51156.41996863169
2021-04-16 12:00:00,47314.68666404673,51037.437279481426
2021-04-17 00:00:00,47191.57459863241,50914.32521406711
2021-04-17 12:00:00,47064.39805046627,50787.14866590097
2021-04-18 00:00:00,46933.22384196512,50655.97445739982
2021-04-18 12:00:00,46798.1206719921,50520.8712874268
2021-04-19 00:00:00,46659.159062347506,50381.909677782205
2021-04-19 12:00:00,46516.4113039813,50239.161919416
2021-04-20 00:00:00,46369.95140211058,50092.70201754528
2021-04-20 12:00:00,46219.855020783674,49942.60563621837
2021-04-21 00:00:00,46066.19942634539,49788.95004178009
2021-04-21 12:00:00,45909.06343149665,49631.81404693135
2021-04-22 00:00:00,45748.52733710591,49471.27795254061
2021-04-22 12:00:00,45584.67287507191,49307.42349050661
2021-04-23 00:00:00,45417.58314951833,49140.33376495303
2021-04-23 12:00:00,45247.342578595075,48970.093194029774
2021-04-24 00:00:00,45074.036834915016,48796.787450349715
2021-04-24 12:00:00,44897.75278662115,48620.50340205585
2021-04-25 00:00:00,44718.578437185366,48441.329052620065
2021-04-25 12:00:00,44536.602865954155,48259.353481388855
2021-04-26 00:00:00,44351.9161676261,48074.6667830608
2021-04-26 12:00:00,44164.60939222029,47887.36000765499
2021-04-27 00:00:00,43974.77448461002,47697.52510004472
2021-04-27 12:00:00,43782.50422390428,47505.25483933898
2021-04-28 00:00:00,43587.892163262026,47310.642778696725
2021-04-28 12:00:00,43391.03256905345,47113.78318448815
2021-04-29 00:00:00,43192.02036056472,46914.77097599942
2021-04-29 12:00:00,42990.951049870186,46713.701665304885
2021-04-30 00:00:00,42787.92068120879,46510.671296643486
2021-04-30 12:00:00,42583.025771389555,46305.776386824255
2021-05-01 00:00:00,42376.36324971568,46099.11386515038
2021-05-01 12:00:00,42168.030398326446,45890.781013761145
2021-05-02 00:00:00,41958.124793243784,45680.87540867848
2021-05-02 12:00:00,41746.74424526712,45469.494860701816
2021-05-03 00:00:00,41533.98674118126,45256.73735661596
2021-05-03 12:00:00,41319.95038571714,45042.701001151836
2021-05-04 00:00:00,41104.73334427078,44827.48395970548
2021-05-04 12:00:00,40888.433784486384,44611.18439992108
2021-05-05 00:00:00,40671.149820450184,44393.90043588488
2021-05-05 12:00:00,40452.97945596024,44175.73007139494
2021-05-06 00:00:00,40234.02052910379,43956.77114453849
2021-05-06 12:00:00,40014.37065655898,43737.12127199368
2021-05-07 00:00:00,39794.12718015692,43516.877795591616
2021-05-07 12:00:00,39573.38711158933,43296.13772702403
2021-05-08 00:00:00,39352.24708061019,43074.99769604489
2021-05-08 12:00:00,39130.80328175455,42853.55389718925
2021-05-09 00:00:00,38909.151423129224,42631.90203856392
2021-05-09 12:00:00,38687.38667497651,42410.13729041121
2021-05-10 00:00:00,38465.60362020436,42188.35423563906
2021-05-10 12:00:00,38243.89620410474,41966.64681953944
2021-05-11 00:00:00,38022.35768686189,41745.10830229659
2021-05-11 12:00:00,37801.08059492047,41523.83121035517
2021-05-12 00:00:00,37580.1566753135,41302.9072907482
2021-05-12 12:00:00,37359.67684910758,41082.42746454228
2021-05-13 00:00:00,37139.73116644387,40862.48178187857
2021-05-13 12:00:00,36920.408762689105,40643.159378123804
2021-05-14 00:00:00,36701.797815961014,40424.54843139571
2021-05-14 12:00:00,36483.98550441999,40206.736119854686
2021-05-15 00:00:00,36267.057965289314,39989.80858072401
2021-05-15 12:00:00,36051.10025584164,39773.850871276336
2021-05-16 00:00:00,35836.19631231753,39558.94692775223
2021-05-16 12:00:00,35622.428914704375,39345.179530139074
2021-05-17 00:00:00,35409.87964793967,39132.63026337437
2021-05-17 12:00:00,35198.62886690504,38921.37948233974
2021-05-18 00:00:00,34988.755661570205,38711.506277004904
2021-05-18 12:00:00,34780.33782308462,38503.08843851932
2021-05-19 00:00:00,34573.45181284385,38296.20242827855
2021-05-19 12:00:00,34368.17272860741,38090.92334404211
2021-05-20 00:00:00,34164.57427640259,37887.32489183729
2021-05-20 12:00:00,33962.72874116924,37685.47935660394
2021-05-21 00:00:00,33762.70695701857,37485.45757245327
2021-05-21 12:00:00,33564.57828369009,37287.32889912479
2021-05-22 00:00:00,33368.41057746953,37091.16119290423
2021-05-22 12:00:00,33174.27016957845,36897.02078501315
2021-05-23 00:00:00,32982.221841151855,36704.972456586554
2021-05-23 12:00:00,32792.32880198897,36515.07941742367
2021-05-24 00:00:00,32604.652668869297,36327.403284304
2021-05-24 12:00:00,32419.253447766736,36142.004063201435
2021-05-25 00:00:00,32236.189511458295,35958.940126892994
2021-05-25 12:00:00,32055.51758757682,35778.26820301152
2021-05-26 00:00:00,31877.292736825337,35600.043352260036
2021-05-26 12:00:00,31701.568341545208,35424.31895697991
2021-05-27 00:00:00,31528.396091102666,35251.146706537365
2021-05-27 12:00:00,31357.825968948382,35080.57658438308
2021-05-28 00:00:00,31189.906240489327,34912.656855924026
2021-05-28 12:00:00,31024.683444582755,34747.434060017455
2021-05-29 00:00:00,30862.202382532756,34584.952997967455
